                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.45214,                0.30589,                0.88646,                0.94472,                0.96591,                0.97222,                0.71616,                 0.9591,                0.44489,                  1.126,                 0.0002,                 0.0002,                 0.0002
                      2,                0.48277,                0.32512,                0.89692,                0.96766,                0.94834,                0.96917,                0.72131,                0.98385,                 0.4527,                  1.152,             0.00040433,             0.00040433,             0.00040433
                      3,                0.50671,                0.35487,                0.90767,                0.96213,                0.96767,                0.97206,                0.71904,                0.96097,                0.47593,                 1.1235,             0.00060025,             0.00060025,             0.00060025
                      4,                0.55558,                0.40059,                0.93399,                0.92448,                0.93881,                0.94517,                0.66788,                 1.0328,                0.56981,                   1.19,             0.00078775,             0.00078775,             0.00078775
                      5,                0.59757,                0.43601,                0.94592,                0.85527,                0.89741,                0.90621,                0.60186,                 1.0988,                0.78456,                 1.2187,             0.00096684,             0.00096684,             0.00096684
                      6,                0.63614,                0.50541,                0.97554,                0.92712,                0.88678,                  0.951,                0.64044,                 1.0782,                0.73995,                 1.1995,              0.0011263,              0.0011263,              0.0011263
                      7,                0.67241,                0.51731,                 0.9825,                0.77598,                0.80565,                0.83814,                0.53867,                 1.1575,                 1.1614,                 1.3046,              0.0011263,              0.0011263,              0.0011263
                      8,                0.66688,                0.48817,                0.98774,                0.79908,                0.75358,                0.80734,                0.52732,                 1.2615,                 1.1863,                 1.3923,              0.0011015,              0.0011015,              0.0011015
                      9,                0.66335,                0.50947,                0.97933,                 0.9004,                0.86753,                0.94123,                0.64392,                 1.1056,                0.87632,                 1.2326,              0.0010768,              0.0010768,              0.0010768
                     10,                0.65236,                0.46324,                0.97454,                0.92916,                0.94909,                0.96437,                0.66476,                 1.0166,                0.64216,                 1.1759,               0.001052,               0.001052,               0.001052
                     11,                0.66256,                 0.4769,                 0.9949,                0.93421,                0.91329,                0.96346,                0.67429,                 1.0203,                0.64656,                 1.1707,              0.0010273,              0.0010273,              0.0010273
                     12,                0.63455,                0.44927,                0.96881,                0.86944,                0.88653,                0.94169,                0.68118,                0.99557,                0.67112,                 1.1522,              0.0010025,              0.0010025,              0.0010025
                     13,                0.63004,                0.44615,                0.96568,                0.92255,                0.91585,                0.95705,                0.66101,                 1.0519,                0.59579,                 1.1739,             0.00097775,             0.00097775,             0.00097775
                     14,                0.64033,                0.44143,                 0.9786,                0.96843,                0.93333,                0.97436,                0.70392,                0.96688,                0.52139,                 1.1424,               0.000953,               0.000953,               0.000953
                     15,                0.62647,                0.43801,                0.96863,                0.95151,                0.96243,                0.97218,                 0.6961,                 1.0255,                0.49644,                 1.1673,             0.00092825,             0.00092825,             0.00092825
                     16,                 0.6176,                0.42373,                0.96109,                0.97061,                0.90242,                0.96915,                0.70203,                0.99506,                0.52363,                 1.1544,              0.0009035,              0.0009035,              0.0009035
                     17,                 0.6113,                0.42349,                0.95629,                0.94453,                0.91497,                0.95059,                0.69454,                 1.0193,                0.57887,                 1.1923,             0.00087875,             0.00087875,             0.00087875
                     18,                0.59449,                0.41865,                0.95269,                0.93252,                0.95815,                0.97087,                  0.664,                 1.0762,                0.52528,                 1.1766,               0.000854,               0.000854,               0.000854
                     19,                0.58534,                0.40682,                0.94234,                0.88155,                0.88017,                0.95229,                0.68351,                0.97636,                0.64253,                 1.1355,             0.00082925,             0.00082925,             0.00082925
                     20,                0.56738,                 0.3972,                0.93926,                0.95882,                0.93367,                0.96328,                0.71753,                0.95385,                0.48664,                 1.1563,              0.0008045,              0.0008045,              0.0008045
                     21,                0.56496,                0.38963,                0.92659,                0.93166,                0.90928,                0.95705,                0.70708,                0.92558,                0.51907,                 1.1097,             0.00077975,             0.00077975,             0.00077975
                     22,                0.56574,                0.39225,                0.93188,                 0.9703,                 0.9498,                0.97034,                0.71442,                0.98487,                0.48084,                 1.1316,               0.000755,               0.000755,               0.000755
                     23,                0.55935,                0.38098,                0.93318,                0.95458,                0.95278,                0.96695,                0.71151,                0.97656,                0.47412,                 1.1701,             0.00073025,             0.00073025,             0.00073025
                     24,                0.55809,                0.38302,                0.92372,                0.94592,                0.93484,                0.97441,                0.71394,                0.96036,                0.51935,                 1.1133,              0.0007055,              0.0007055,              0.0007055
                     25,                0.55108,                0.37944,                0.92889,                0.95684,                0.91615,                0.96871,                0.70263,                0.97254,                0.48177,                 1.1184,             0.00068075,             0.00068075,             0.00068075
                     26,                0.53195,                0.36763,                0.91946,                0.96304,                0.93147,                0.97132,                0.70447,                 0.9657,                0.47481,                 1.1495,               0.000656,               0.000656,               0.000656
                     27,                0.53593,                0.35961,                0.92318,                0.98391,                0.94846,                0.97577,                 0.7275,                0.94033,                0.44681,                 1.1209,             0.00063125,             0.00063125,             0.00063125
                     28,                0.52025,                0.34779,                 0.9082,                0.96231,                0.93042,                0.97001,                0.72559,                0.97146,                0.46859,                 1.1533,              0.0006065,              0.0006065,              0.0006065
